Date,Close,High,Low,Open,Volume
01-01-2024,21741.90039,21834.34961,21680.84961,21727.75,154000
02-01-2024,21665.80078,21755.59961,21555.65039,21751.34961,263700
03-01-2024,21517.34961,21677,21500.34961,21661.09961,311900
04-01-2024,21658.59961,21685.65039,21564.55078,21605.80078,339200
05-01-2024,21710.80078,21749.59961,21629.19922,21705.75,309300
08-01-2024,21513,21763.94922,21492.90039,21747.59961,231500
09-01-2024,21544.84961,21724.44922,21517.84961,21653.59961,228600
10-01-2024,21618.69922,21641.84961,21448.65039,21529.30078,217000
11-01-2024,21647.19922,21726.5,21593.75,21688,212500
12-01-2024,21894.55078,21928.25,21715.15039,21773.55078,294700
15-01-2024,22097.44922,22115.55078,21963.55078,22053.15039,345500
16-01-2024,22032.30078,22124.15039,21969.80078,22080.5,292400
17-01-2024,21571.94922,21851.5,21550.44922,21647.25,456000
18-01-2024,21462.25,21539.40039,21285.55078,21414.19922,387300
19-01-2024,21622.40039,21670.59961,21575,21615.19922,343100
23-01-2024,21238.80078,21750.25,21192.59961,21716.69922,449700
24-01-2024,21453.94922,21482.34961,21137.19922,21185.25,407500
25-01-2024,21352.59961,21459,21247.05078,21454.59961,418100
29-01-2024,21737.59961,21763.25,21429.59961,21433.09961,376700
30-01-2024,21522.09961,21813.05078,21501.80078,21775.75,375100
31-01-2024,21725.69922,21741.34961,21448.84961,21487.25,410600
01-02-2024,21697.44922,21832.94922,21658.75,21780.65039,332500
02-02-2024,21853.80078,22126.80078,21805.55078,21812.75,442800
05-02-2024,21771.69922,21964.30078,21726.94922,21921.05078,440800
06-02-2024,21929.40039,21951.40039,21737.55078,21825.19922,371000
07-02-2024,21930.5,22053.30078,21860.15039,22045.05078,346300
08-02-2024,21717.94922,22011.05078,21665.30078,22009.65039,491100
09-02-2024,21782.5,21804.44922,21629.90039,21727,349200
12-02-2024,21616.05078,21831.69922,21574.75,21800.80078,287400
13-02-2024,21743.25,21766.80078,21543.34961,21664.30078,365800
14-02-2024,21840.05078,21870.84961,21530.19922,21578.15039,359100
15-02-2024,21910.75,21953.84961,21794.80078,21906.55078,345400
16-02-2024,22040.69922,22068.65039,21968.94922,22020.30078,343900
19-02-2024,22122.25,22186.65039,22021.05078,22103.44922,0
20-02-2024,22196.94922,22215.59961,22045.84961,22099.19922,295700
21-02-2024,22055.05078,22249.40039,21997.94922,22248.84961,364500
22-02-2024,22217.44922,22252.5,21875.25,22081.55078,343500
23-02-2024,22212.69922,22297.5,22186.09961,22290,226000
26-02-2024,22122.05078,22202.15039,22075.15039,22169.19922,207800
27-02-2024,22198.34961,22218.25,22085.65039,22090.19922,252200
28-02-2024,21951.15039,22229.15039,21915.84961,22214.09961,203000
29-02-2024,21982.80078,22060.55078,21860.65039,21935.19922,360200
01-03-2024,22338.75,22353.30078,22047.75,22048.30078,351500
04-03-2024,22405.59961,22440.90039,22358.30078,22403.5,298800
05-03-2024,22356.30078,22416.90039,22269.15039,22371.25,296200
06-03-2024,22474.05078,22497.19922,22224.34961,22327.5,312300
07-03-2024,22493.55078,22525.65039,22430,22505.30078,379900
11-03-2024,22332.65039,22526.59961,22307.25,22517.5,277900
12-03-2024,22335.69922,22452.55078,22256,22334.44922,299200
13-03-2024,21997.69922,22446.75,21905.65039,22432.19922,493300
14-03-2024,22146.65039,22204.59961,21917.5,21982.55078,426700
15-03-2024,22023.34961,22120.90039,21931.69922,22064.84961,661500
18-03-2024,22055.69922,22123.69922,21916.55078,21990.09961,356300
19-03-2024,21817.44922,21978.30078,21793.09961,21946.44922,344200
20-03-2024,21839.09961,21930.90039,21710.19922,21843.90039,312400
21-03-2024,22011.94922,22080.94922,21941.30078,21989.90039,353200
22-03-2024,22096.75,22180.69922,21883.30078,21932.19922,388700
26-03-2024,22004.69922,22073.19922,21947.55078,21947.90039,328400
27-03-2024,22123.65039,22193.59961,22052.84961,22053.94922,409100
28-03-2024,22326.90039,22516,22163.59961,22163.59961,410500
01-04-2024,22462,22529.94922,22427.75,22455,0
02-04-2024,22453.30078,22497.59961,22388.15039,22458.80078,289500
03-04-2024,22434.65039,22521.09961,22346.5,22385.69922,309600
04-04-2024,22514.65039,22619,22303.80078,22592.09961,401000
05-04-2024,22513.69922,22537.59961,22427.59961,22486.40039,242200
08-04-2024,22666.30078,22697.30078,22550.34961,22578.34961,227600
09-04-2024,22642.75,22768.40039,22612.25,22765.09961,232400
10-04-2024,22753.80078,22775.69922,22673.69922,22720.25,276800
12-04-2024,22519.40039,22726.44922,22503.75,22677.40039,357200
15-04-2024,22272.5,22427.44922,22259.55078,22339.05078,355500
16-04-2024,22147.90039,22213.75,22079.44922,22125.30078,317300
18-04-2024,21995.84961,22326.5,21961.69922,22212.34961,456900
19-04-2024,22147,22179.55078,21777.65039,21861.5,362500
22-04-2024,22336.40039,22375.65039,22198.15039,22336.90039,279300
23-04-2024,22368,22447.55078,22349.44922,22447.05078,231500
24-04-2024,22402.40039,22476.44922,22384,22421.55078,235900
25-04-2024,22570.34961,22625.94922,22305.25,22316.90039,475000
26-04-2024,22419.94922,22620.40039,22385.55078,22620.40039,329900
29-04-2024,22643.40039,22655.80078,22441.90039,22475.55078,292000
30-04-2024,22604.84961,22783.34961,22568.40039,22679.65039,361900
02-05-2024,22648.19922,22710.5,22567.84961,22567.84961,445900
03-05-2024,22475.84961,22794.69922,22348.05078,22766.34961,438100
06-05-2024,22442.69922,22588.80078,22409.44922,22561.59961,320300
07-05-2024,22302.5,22499.05078,22232.05078,22489.75,297800
08-05-2024,22302.5,22368.65039,22185.19922,22231.19922,277400
09-05-2024,21957.5,22307.75,21932.40039,22224.80078,331300
10-05-2024,22055.19922,22131.30078,21950.30078,21990.94922,265800
13-05-2024,22104.05078,22131.65039,21821.05078,22027.94922,278200
14-05-2024,22217.84961,22270.05078,22081.25,22112.90039,230200
15-05-2024,22200.55078,22297.55078,22151.75,22255.59961,231900
16-05-2024,22403.84961,22432.25,22054.55078,22319.19922,368900
17-05-2024,22466.09961,22502.15039,22345.65039,22415.25,242700
21-05-2024,22529.05078,22591.09961,22404.55078,22404.55078,347600
22-05-2024,22597.80078,22629.5,22483.15039,22576.59961,290300
23-05-2024,22967.65039,22993.59961,22577.44922,22614.09961,369800
24-05-2024,22957.09961,23026.40039,22908,22930.75,261900
27-05-2024,22932.44922,23110.80078,22871.19922,23038.94922,260000
28-05-2024,22888.15039,22998.55078,22858.5,22977.15039,217900
29-05-2024,22704.69922,22825.5,22685.44922,22762.75,269900
30-05-2024,22488.65039,22705.75,22417,22617.44922,373400
31-05-2024,22530.69922,22653.75,22465.09961,22568.09961,572100
03-06-2024,23263.90039,23338.69922,23062.30078,23337.90039,569400
04-06-2024,21884.5,23179.5,21281.44922,23179.5,1006100
05-06-2024,22620.34961,22670.40039,21791.94922,22128.34961,638500
06-06-2024,22821.40039,22910.15039,22642.59961,22798.59961,480400
07-06-2024,23290.15039,23320.19922,22789.05078,22821.84961,473600
10-06-2024,23259.19922,23411.90039,23227.15039,23319.15039,304400
11-06-2024,23264.84961,23389.44922,23206.65039,23283.75,305200
12-06-2024,23322.94922,23441.94922,23295.94922,23344.44922,295600
13-06-2024,23398.90039,23481.05078,23353.90039,23480.94922,268300
14-06-2024,23465.59961,23490.40039,23334.25,23464.94922,223100
18-06-2024,23557.90039,23579.05078,23499.69922,23570.80078,272200
19-06-2024,23516,23664,23412.90039,23629.84961,328800
20-06-2024,23567,23624,23442.59961,23586.15039,280300
21-06-2024,23501.09961,23667.09961,23398.19922,23661.15039,609900
24-06-2024,23537.84961,23558.09961,23350,23382.30078,239400
25-06-2024,23721.30078,23754.15039,23562.05078,23577.09961,298100
26-06-2024,23868.80078,23889.90039,23670.44922,23723.09961,287800
27-06-2024,24044.5,24087.44922,23805.40039,23881.55078,515200
28-06-2024,24010.59961,24174,23985.80078,24085.90039,354800
01-07-2024,24141.94922,24164,23992.69922,23992.94922,0
02-07-2024,24123.84961,24236.34961,24056.40039,24228.75,0
03-07-2024,24286.5,24309.15039,24207.09961,24291.75,0
04-07-2024,24302.15039,24401,24281,24369.94922,251200
05-07-2024,24323.84961,24363,24168.84961,24213.34961,298400
